metric,topk,rank,model,value
hit,10,1,Pop,0.4105
hit,10,2,FOSSIL,0.2423
hit,10,3,SASRec,0.1874
hit,10,4,GRU4Rec,0.1816
hit,10,5,ItemKNN,0.178
hit,10,6,TransRec,0.158
hit,10,7,STAMP,0.1477
hit,10,8,NARM,0.1475
hit,10,9,BPR,0.1199
hit,10,10,Random,0.0987
hit,10,11,FPMC,0.095
hit,10,12,Caser,0.0086
hit,10,13,NextItNet,0.0028
hit,10,14,BERT4Rec,
hit,20,1,Pop,0.5787
hit,20,2,FOSSIL,0.3443
hit,20,3,SASRec,0.277
hit,20,4,GRU4Rec,0.2671
hit,20,5,TransRec,0.2385
hit,20,6,STAMP,0.2235
hit,20,7,NARM,0.2233
hit,20,8,ItemKNN,0.2159
hit,20,9,Random,0.1974
hit,20,10,BPR,0.151
hit,20,11,FPMC,0.1403
hit,20,12,Caser,0.0152
hit,20,13,NextItNet,0.0048
hit,20,14,BERT4Rec,
hit,5,1,Pop,0.2787
hit,5,2,FOSSIL,0.1556
hit,5,3,ItemKNN,0.1291
hit,5,4,GRU4Rec,0.1174
hit,5,5,SASRec,0.1162
hit,5,6,TransRec,0.0969
hit,5,7,BPR,0.0941
hit,5,8,NARM,0.0932
hit,5,9,STAMP,0.0923
hit,5,10,FPMC,0.0623
hit,5,11,Random,0.0493
hit,5,12,Caser,0.0048
hit,5,13,NextItNet,0.0018
hit,5,14,BERT4Rec,
mrr,10,1,Pop,0.1768
mrr,10,2,FOSSIL,0.083
mrr,10,3,ItemKNN,0.0805
mrr,10,4,GRU4Rec,0.0706
mrr,10,5,BPR,0.0688
mrr,10,6,NARM,0.0564
mrr,10,7,SASRec,0.0549
mrr,10,8,STAMP,0.0547
mrr,10,9,TransRec,0.0505
mrr,10,10,FPMC,0.039
mrr,10,11,Random,0.029
mrr,10,12,Caser,0.0028
mrr,10,13,NextItNet,0.001
mrr,10,14,BERT4Rec,
mrr,20,1,Pop,0.1883
mrr,20,2,FOSSIL,0.09
mrr,20,3,ItemKNN,0.0832
mrr,20,4,GRU4Rec,0.0765
mrr,20,5,BPR,0.0709
mrr,20,6,NARM,0.0616
mrr,20,7,SASRec,0.061
mrr,20,8,STAMP,0.0598
mrr,20,9,TransRec,0.0561
mrr,20,10,FPMC,0.0421
mrr,20,11,Random,0.0356
mrr,20,12,Caser,0.0032
mrr,20,13,NextItNet,0.0012
mrr,20,14,BERT4Rec,
mrr,5,1,Pop,0.1594
mrr,5,2,ItemKNN,0.074
mrr,5,3,FOSSIL,0.0715
mrr,5,4,BPR,0.0654
mrr,5,5,GRU4Rec,0.0622
mrr,5,6,NARM,0.0492
mrr,5,7,STAMP,0.0474
mrr,5,8,SASRec,0.0454
mrr,5,9,TransRec,0.0425
mrr,5,10,FPMC,0.0347
mrr,5,11,Random,0.0226
mrr,5,12,Caser,0.0023
mrr,5,13,NextItNet,0.0009
mrr,5,14,BERT4Rec,
ndcg,10,1,Pop,0.2297
ndcg,10,2,FOSSIL,0.1202
ndcg,10,3,ItemKNN,0.1034
ndcg,10,4,GRU4Rec,0.0964
ndcg,10,5,SASRec,0.0859
ndcg,10,6,BPR,0.0808
ndcg,10,7,NARM,0.0775
ndcg,10,8,STAMP,0.0762
ndcg,10,9,TransRec,0.0756
ndcg,10,10,FPMC,0.052
ndcg,10,11,Random,0.0446
ndcg,10,12,Caser,0.0041
ndcg,10,13,NextItNet,0.0014
ndcg,10,14,BERT4Rec,
ndcg,20,1,Pop,0.2721
ndcg,20,2,FOSSIL,0.1459
ndcg,20,3,GRU4Rec,0.1179
ndcg,20,4,ItemKNN,0.1131
ndcg,20,5,SASRec,0.1085
ndcg,20,6,NARM,0.0966
ndcg,20,7,TransRec,0.0959
ndcg,20,8,STAMP,0.0953
ndcg,20,9,BPR,0.0887
ndcg,20,10,Random,0.069
ndcg,20,11,FPMC,0.0634
ndcg,20,12,Caser,0.0058
ndcg,20,13,NextItNet,0.0019
ndcg,20,14,BERT4Rec,
ndcg,5,1,Pop,0.1875
ndcg,5,2,FOSSIL,0.0922
ndcg,5,3,ItemKNN,0.0876
ndcg,5,4,GRU4Rec,0.0758
ndcg,5,5,BPR,0.0725
ndcg,5,6,SASRec,0.063
ndcg,5,7,NARM,0.0601
ndcg,5,8,STAMP,0.0584
ndcg,5,9,TransRec,0.0559
ndcg,5,10,FPMC,0.0415
ndcg,5,11,Random,0.0289
ndcg,5,12,Caser,0.0029
ndcg,5,13,NextItNet,0.0011
ndcg,5,14,BERT4Rec,
recall,10,1,Pop,0.4069
recall,10,2,FOSSIL,0.2423
recall,10,3,SASRec,0.1874
recall,10,4,GRU4Rec,0.1816
recall,10,5,ItemKNN,0.178
recall,10,6,TransRec,0.158
recall,10,7,STAMP,0.1477
recall,10,8,NARM,0.1475
recall,10,9,BPR,0.1199
recall,10,10,Random,0.0978
recall,10,11,FPMC,0.095
recall,10,12,Caser,0.0086
recall,10,13,NextItNet,0.0028
recall,10,14,BERT4Rec,
recall,20,1,Pop,0.5743
recall,20,2,FOSSIL,0.3443
recall,20,3,SASRec,0.277
recall,20,4,GRU4Rec,0.2671
recall,20,5,TransRec,0.2385
recall,20,6,STAMP,0.2235
recall,20,7,NARM,0.2233
recall,20,8,ItemKNN,0.2159
recall,20,9,Random,0.1955
recall,20,10,BPR,0.151
recall,20,11,FPMC,0.1403
recall,20,12,Caser,0.0152
recall,20,13,NextItNet,0.0048
recall,20,14,BERT4Rec,
recall,5,1,Pop,0.276
recall,5,2,FOSSIL,0.1556
recall,5,3,ItemKNN,0.1291
recall,5,4,GRU4Rec,0.1174
recall,5,5,SASRec,0.1162
recall,5,6,TransRec,0.0969
recall,5,7,BPR,0.0941
recall,5,8,NARM,0.0932
recall,5,9,STAMP,0.0923
recall,5,10,FPMC,0.0623
recall,5,11,Random,0.0488
recall,5,12,Caser,0.0048
recall,5,13,NextItNet,0.0018
recall,5,14,BERT4Rec,
